,position,country,name,club,boots,age,height,ACL
31,Defender,Azerbaijan,Abbas Hüseynov,Qarabağ FK,,29,179,0
32,Defender,-,Abdallah Ali Mohamed,,,25,178,0
33,Midfielder,Ghana,Abdallah Basit,,adidas X 18.1,24,180,0
34,Defender,Senegal,Abdallah Ndour,EA Guingamp,,30,186,0
35,Midfielder,Egypt,Abdallah Said,,adidas X Crazyfast Elite LL,39,176,0
36,Forward,Senegal,Abdallah Sima,Stade Brestois 29,adidas F50 Elite LL,23,188,0
37,Midfielder,Mauritania,Abdallahi Mahmoud,Deportivo Alavés,adidas Predator Elite LL,24,189,0
38,Forward,Morocco,Abde Ezzalzouli,Real Betis Balompié,adidas X Crazyfast+,22,177,0
39,Forward,Algeria,Abde Rebbach,Deportivo Alavés,Puma Future 7 Ultimate,26,176,0
40,Defender,Morocco,Abdel Abqar,Deportivo Alavés,adidas Predator Elite LL,25,188,0
41,Forward,Panama,Abdel Aguilar,,,27,175,0
42,Defender,France,Abdel Malik Hsissane,,,28,179,0
43,Defender,Algeria,Abdel Medioub,,Nike Phantom GX 2 Elite,27,197,0
44,Midfielder,Morocco,Abdelaziz Barrada,,Nike Mercurial Vapor 15 Elite,35,179,0
45,Midfielder,Netherlands,Abdelhak Nouri,,Nike Mercurial Vapor 15 Elite,27,170,0
46,Defender,Morocco,Abdelhamid El Kaoutari,,Nike Mercurial Superfly 9 Elite,34,180,0
47,Midfielder,Morocco,Abdelhamid Sabiri,ACF Fiorentina,Nike Mercurial Vapor 15 Elite By You,27,186,0
48,Midfielder,Morocco,Abdelilah Hafidi,,,32,169,0
49,Forward,Algeria,Abdelkader Ghezzal,,adidas F50 Adizero,39,183,0
50,Defender,Qatar,Abdelkarim Hassan,,Nike Mercurial Superfly 9 Elite,31,186,0
51,Forward,France,Abdellah Zoubir,Qarabağ FK,Nike Mercurial Vapor 15 Elite,32,180,0
52,Midfielder,Algeria,Abdelmoumene Djabou,,Nike Phantom GX 2 Elite,37,164,0
53,Midfielder,France,Abdelrafik Gérard,,,31,176,0
54,Forward,Qatar,Abdelrahman Moustafa,,,27,168,0
55,Forward,Germany,Abdenego Nankishi,SV Werder Bremen,,22,178,0
56,Forward,Morocco,Abderrazak Hamdallah,,Nike Mercurial Superfly VI Elite,33,182,0
57,Forward,Panama,Abdiel Arroyo,,Nike Mercurial Superfly 9 Elite,30,187,0
58,Forward,Spain,Abdón Prats,RCD Mallorca,adidas X Crazyfast Elite,31,181,0
59,Midfielder,France,Abdou Aziz Thiam,,,27,180,0
60,Defender,Senegal,Abdou Diallo,,Puma Ultra Ultimate,28,187,0
61,Midfielder,Morocco,Abdou Harroui,Hellas Verona,adidas X Crazyfast+,26,182,0
62,Midfielder,Mali,Abdou Traoré,,Nike Mercurial Superfly 9 Elite,36,180,0
63,Defender,Mauritania,Abdoul Ba,,,30,200,0
64,Forward,Guinea,Abdoul Camara,,Nike Mercurial Vapor 15 Elite,34,177,0
65,Forward,France,Abdoul Kader Bamba,,adidas X Crazyfast+,30,177,0
66,Defender,Mali,Abdoul Karim Danté,,,25,182,0
67,Defender,France,Abdoul Koné,Stade de Reims,,19,192,0
68,Midfielder,Niger,Abdoul Moumouni,,,22,177,0
69,Midfielder,Mali,Abdoul Sissoko,,Nike CTR360 Maestri,34,180,0
70,Forward,Burkina Faso,Abdoul Tapsoba,,,23,180,0
71,Forward,Mali,Abdoulay Diaby,,Nike Mercurial Superfly VI Elite,33,173,0
72,Defender,France,Abdoulay Konko,,Nike Mercurial Superfly 9 Elite,40,184,0
73,Defender,Senegal,Abdoulaye,,Nike Phantom GX 2 Elite,33,197,0
74,Defender,Senegal,Abdoulaye,,,33,195,0
75,Defender,-,Abdoulaye Bakayoko,,,21,185,0
76,Defender,-,Abdoulaye Bamba,Angers SCO,adidas X Crazyfast Elite,34,182,0
77,Midfielder,France,Abdoulaye Dabo,,Nike Phantom GX 2 Elite,23,181,0
78,Goalkeeper,Senegal,Abdoulaye Diallo,,Nike Hypervenom,32,191,0
79,Defender,Senegal,Abdoulaye Diédhiou,,,24,180,0
80,Midfielder,Mali,Abdoulaye Doucouré,Everton,adidas Predator Elite,31,183,0
81,Midfielder,France,Abdoulaye Kamara,,adidas Predator Elite,19,185,0
82,Midfielder,-,Abdoulaye Kanté,ESTAC Troyes,,19,180,0
83,Midfielder,Mali,Abdoulaye Keita,,Nike Mercurial Superfly 9 Elite,30,175,0
84,Defender,Senegal,Abdoulaye Ndiaye,Stade Brestois 29,Nike Phantom GX 2 Elite,22,195,0
85,Forward,Senegal,Abdoulaye Sané,,adidas X Crazyfast Elite,31,177,0
86,Forward,France,Abdoulaye Sidibé,,adidas X Crazyfast Elite LL,22,180,0
87,Defender,Guinea,Abdoulaye Sylla,,adidas X Speedflow.1,24,191,0
88,Midfielder,Guinea,Abdoulaye Touré,Le Havre AC,Puma Future 7 Ultimate,30,188,0
89,Forward,Togo,Abdoulrazak Boukari,,Nike Mercurial Superfly 9 Elite,37,182,0
90,Defender,Guinea,Abdourahmane Barry,Amiens SC,adidas X Crazyfast Elite LL,24,185,0
91,Defender,Portugal,Abdu Conté,BSC Young Boys,Puma Ultra Ultimate,26,183,0
92,Defender,Uzbekistan,Abdukodir Khusanov,RC Lens,Puma Future 7 Ultimate,20,186,0
93,Defender,Ghana,Abdul Mumin,Rayo Vallecano,Nike Hypervenom Phantom III Elite DF,26,188,0
94,Goalkeeper,Ghana,Abdul Nurudeen,,Nike Mercurial Superfly 9 Elite,25,189,0
95,Defender,Ghana,Abdul Rahman Baba,PAOK Thessaloniki,Puma Ultra Ultimate,30,179,0
96,Midfielder,Italy,Abdul Yabré,,Nike Mercurial Superfly 9 Elite,29,180,0
97,Midfielder,Saudi Arabia,Abdulaziz Ali Al-Bishi,,,30,172,0
98,Midfielder,Qatar,Abdulaziz Hatem,,adidas X Speedflow.1,33,183,0
99,Defender,Turkey,Abdulcebrail Akbulut,,,22,178,0
100,Defender,Saudi Arabia,Abdulelah Al-Amri,,adidas X Crazyfast Elite,27,183,0
101,Midfielder,Saudi Arabia,Abdulelah Al-Malki,,adidas X Speedportal.1,29,170,0
102,Midfielder,Saudi Arabia,Abdulfattah Tawfiq Asiri,,,30,167,0
103,Midfielder,Turkey,Abdülkadir Ömür,Hull City,Nike Mercurial Vapor 15 Elite,25,168,0
104,Defender,Turkey,Abdülkerim Bardakcı,Galatasaray,Nike Mercurial Vapor XI Elite,29,185,0
105,Forward,Saudi Arabia,Abdullah Al-Hamdan,,,24,184,0
106,Midfielder,Saudi Arabia,Abdullah Al-Khaibari,,Nike Tiempo Legend 10 Elite,28,178,0
107,Goalkeeper,Saudi Arabia,Abdullah Al-Mayouf,,Nike Tiempo Legend 10 Elite,37,187,0
108,Midfielder,Turkey,Abdullah Aydın,Beşiktaş JK,,23,175,0
109,Goalkeeper,Switzerland,Abdullah Laidani,,,21,194,0
110,Defender,Saudi Arabia,Abdullah Madu,,Nike Tiempo Legend VII Elite,31,186,0
111,Midfielder,Saudi Arabia,Abdullah Otayf,,adidas Predator Freak.1,32,177,0
112,Forward,Saudi Arabia,Abdullah Radif,,,21,187,0
113,Defender,Nigeria,Abdullahi Nura,,Nike Phantom GX 2 Elite,27,182,0
114,Midfielder,Nigeria,Abdullahi Shehu,,Nike Phantom GX 2 Elite,31,181,0
115,Midfielder,Spain,Abdulmajeed Al-Sulaiheem,,,27,181,0
116,Midfielder,Saudi Arabia,Abdulmalek Al-Khaibri,,adidas Copa 18.1,38,175,0
117,Forward,Saudi Arabia,Abdulrahman Al-Oboud,,Nike Mercurial Superfly 9 Elite,29,174,0
118,Forward,Saudi Arabia,Abdulrahman Gharib,,,27,174,0
119,Midfielder,Turkey,Abdussamed Karnucu,,,24,184,0
120,Midfielder,Spain,Abel,,adidas Predator Elite,42,182,0
121,Midfielder,Colombia,Abel Aguilar,,Nike Tiempo Legend 10 Elite,39,186,0
122,Defender,Spain,Abel Bretones,CA Osasuna,,24,188,0
123,Forward,Uruguay,Abel Hernández,,Nike Mercurial Vapor 15 Elite,34,185,0
124,Defender,Spain,Abel Moreno,,,29,178,0
125,Forward,Spain,Abel Ruiz,Girona FC,adidas F50 Elite,24,182,0
126,Forward,-,Ablie Jallow,FC Metz,Nike Mercurial Vapor 15 Elite,25,166,0
127,Defender,Brazil,Abner,,Nike Mercurial Vapor 15 Elite,28,171,0
128,Defender,Brazil,Abner,Olympique Lyonnais,adidas F50 Elite LL,24,181,0
129,Defender,Iran,Abolfazl Jalali,,Nike Mercurial Vapor 14 Elite,26,177,0
130,Defender,Iran,Abolfazl Razzaghpour,,,26,178,0
131,Midfielder,France,Abou Ba,,,26,182,0
132,Midfielder,France,Abou Diaby,,Nike Tiempo Legend 10 Elite,38,188,0
133,Forward,Burkina Faso,Abou Ouattara,FC Sheriff Tiraspol,,24,177,0
134,Forward,France,Aboubacar Ali Abdallah,Nîmes Olympique,,18,183,0
135,Forward,Guinea,Aboubacar Camara,,Nike Mercurial Superfly 9 Elite,29,186,0
136,Defender,Senegal,Aboubacar Lô,FC Metz,,24,187,0
137,Forward,Mauritania,Aboubakar Kamara,,adidas X Crazyfast+,29,177,0
138,Midfielder,-,Aboubakar Keita,,,26,184,0
139,Forward,Mauritania,Aboubakary Koita,AEK Athens,,25,175,0
140,Midfielder,France,Aboud Aziz Thiam,,adidas X Crazyfast Elite,27,180,0
141,Defender,Spain,Abraham,,Nike Tiempo Legend 10 Elite,38,175,0
142,Midfielder,Spain,Abraham,,Nike Mercurial Superfly 9 Elite,39,177,0
143,Defender,Ghana,Abraham Frimpong,,Nike Magista Obra II Elite,31,184,0
144,Midfielder,Finland,Abukar Mohamed,,,25,186,0
145,Forward,Italy,Accursio Bentivegna,Pescara Calcio,adidas MESSI 15.1,28,170,0
146,Defender,Greece,Achilleas Poungouras,,adidas Copa Sense.1,28,187,0
147,Midfielder,Morocco,Achraf Bencharki,,,29,176,0
148,Defender,Morocco,Achraf Dari,,adidas Predator Elite,25,188,0
149,Defender,Morocco,Achraf Hakimi,Paris Saint-Germain,adidas F50 Elite,25,181,0
150,Defender,Morocco,Achraf Laâziri,,adidas X Crazyfast Elite,21,177,0
151,Defender,Morocco,Achraf Lazaar,,Nike Mercurial Vapor 15 Elite,32,184,0
152,Midfielder,Panama,Adalberto Carrasquilla,,,25,170,0
153,Forward,Venezuela,Adalberto Peñaranda,,Nike Mercurial Superfly 8 Elite,27,186,0
154,Forward,England,Adam Armstrong,Southampton,Puma Ultra Ultimate,27,173,0
155,Defender,Morocco,Adam Aznou,Bayern München,adidas F50 Elite LL,18,178,0
156,Midfielder,Poland,Adam Bodzek,,Puma Future 7 Ultimate,38,184,0
157,Goalkeeper,Hungary,Ádám Bogdán,,adidas X 19.1,36,194,0
158,Forward,Poland,Adam Buksa,FC Midtjylland,Puma Future 7 Ultimate,28,191,0
159,Midfielder,England,Adam Clayton,,Nike Tiempo Legend 10 Elite,35,175,0
160,Forward,Denmark,Adam Daghim,Red Bull Salzburg,adidas F50 Elite LL,18,186,0
161,Goalkeeper,Wales,Adam Davies,Sheffield United,adidas Predator Elite,32,185,0
162,Defender,Scotland,Adam Devine,Rangers FC,adidas X Crazyfast+,21,190,0
163,Defender,Poland,Adam Dzwigala,,,28,185,0
164,Goalkeeper,Australia,Adam Federici,,Nike Phantom GX 2 Elite,39,188,0
165,Defender,Denmark,Adam Fogt,,,31,184,0
166,Midfielder,England,Adam Forshaw,,Nike Phantom VNM Elite,32,175,0
167,Defender,-,Adam Gabriel,FC Midtjylland,,23,190,0
168,Midfielder,Slovenia,Adam Gnezda Cerin,Panathinaikos Athens,adidas Copa Pure 2 Elite KT,25,180,0
169,Forward,Slovakia,Adam Goljan,,,23,185,0
170,Midfielder,Hungary,Ádám Gyurcsó,,,33,181,0
171,Defender,Wales,Adam Henley,,,30,178,0
172,Defender,Czech Republic,Adam Hloušek,,Nike Tiempo Legend 10 Elite,35,187,0
173,Forward,-,Adam Hlozek,1899 Hoffenheim,Nike Mercurial Superfly 9 Elite,22,188,0
174,Forward,Ireland,Adam Idah,Celtic FC,Nike Mercurial Vapor 16 Elite,23,190,0
175,Defender,England,Adam Jackson,,Nike Tiempo Legend V,30,187,0
176,Goalkeeper,Slovakia,Adam Jakubech,,Nike Mercurial Vapor 15 Elite,27,188,0
177,Midfielder,England,Adam Johnson,,adidas X Crazyfast Elite,37,175,0
178,Midfielder,-,Adam Karabec,Hamburger SV,,21,187,0
179,Midfielder,Scotland,Adam King,,,28,180,0
180,Midfielder,England,Adam Lallana,Southampton,Puma Future 6.1 Netfit,36,172,0
181,Defender,Hungary,Ádám Lang,,Puma Future 7 Ultimate,31,188,0
182,Goalkeeper,Ghana,Adam Larsen Kwarasey,,Nike Tiempo Legend 10 Elite,36,188,0
183,Goalkeeper,England,Adam Legzdins,,adidas Nemeziz.1,37,190,0
184,Defender,England,Adam Lewis,,,24,175,0
185,Midfielder,Netherlands,Adam Maher,,Nike Phantom GT2 Elite DF,31,174,0
186,Defender,Montenegro,Adam Marusic,SS Lazio,Nike Mercurial Vapor 15 Elite,31,185,0
187,Defender,Morocco,Adam Masina,Torino FC,Nike Mercurial Superfly 8 Elite,30,191,0
188,Defender,Wales,Adam Matthews,,adidas X Crazyfast Elite,32,178,0
189,Midfielder,Poland,Adam Matuschyk,,adidas X Crazyfast Elite,35,183,0
190,Defender,Scotland,Adam Montgomery,Celtic FC,Nike Phantom GX 2 Elite,22,173,0
191,Midfielder,Hungary,Ádám Nagy,Spezia Calcio,Mizuno Morelia Neo IV Beta,29,178,0
192,Forward,Slovakia,Adam Nemec,,,39,190,0
193,Defender,Slovakia,Adam Obert,Cagliari Calcio,Nike Mercurial Vapor 15 Elite,22,188,0
194,Midfielder,Algeria,Adam Oudjani,,adidas X Crazyfast Elite LL,23,185,0
195,Forward,Algeria,Adam Ounas,,Nike Mercurial Vapor 15 Elite,27,172,0
196,Midfielder,Hungary,Ádám Pintér,,Nike Mercurial Vapor 15 Elite,36,190,0
197,Midfielder,England,Adam Reach,,adidas Copa Pure 2 Elite KT,31,185,0
198,Forward,Poland,Adam Ryczkowski,,,27,178,0
199,Goalkeeper,England,Adam Smith,,,32,180,0
200,Defender,England,Adam Smith,Bournemouth,adidas F50 Elite,33,174,0
201,Goalkeeper,-,Adam Stejskal,,,22,189,0
202,Forward,Hungary,Ádám Szalai,,Nike Phantom GT2 Elite,36,193,0
203,Forward,Australia,Adam Taggart,,Nike Tiempo Legend 10 Elite,31,183,0
204,Forward,Australia,Adam Taggart,,,31,177,0
205,Goalkeeper,Hungary,Ádám Varga,Ferencváros TC,,25,191,0
206,Midfielder,-,Adam Vlkanova,,Puma Ultra Ultimate,30,169,0
207,Defender,England,Adam Webster,Brighton & Hove Albion,adidas Copa Pure 2 Elite KT,29,190,0
208,Midfielder,England,Adam Wharton,Crystal Palace,adidas Predator Elite FT,20,182,0
209,Goalkeeper,-,Adam Zadrazil,,,24,193,0
210,Forward,Slovakia,Adam Zrelak,,adidas Predator 19+,30,183,0
211,Forward,Mauritania,Adama Ba,,adidas X Crazyfast Elite,31,179,0
212,Defender,Spain,Adama Boiro,Athletic Club,adidas F50 Elite,22,183,0
213,Forward,-,Adama Bojang,Stade de Reims,adidas X Crazyfast Elite,20,191,0
214,Forward,France,Adama Diakhaby,,Nike Mercurial Vapor 15 Elite,28,184,0
215,Forward,France,Adama Diakité,,,25,184,0
216,Forward,Norway,Adama Diomande,,Nike Mercurial Superfly,34,180,0
217,Midfielder,Burkina Faso,Adama Guira,,,36,185,0
218,Defender,Senegal,Adama Mbengue,,adidas Nemeziz 17.1,30,178,0
219,Forward,Mali,Adama Niane,,Nike Tiempo Legend 10 Elite,31,182,0
220,Forward,Senegal,Adama Sane,,adidas X 19+,24,178,0
221,Defender,France,Adama Soumaoro,,Nike Tiempo Legend 9 Elite,32,187,0
222,Midfielder,Mali,Adama Traoré,,Nike Mercurial Superfly 9 Elite,29,178,0
223,Forward,Spain,Adama Traoré,Fulham,Nike Mercurial Vapor XIII Elite,28,178,0
224,Defender,Côte d'Ivoire,Adama Traoré,,,34,170,0
225,Forward,Mali,Adama Traoré,Ferencváros TC,Nike Mercurial Vapor 15 Elite,29,178,0
226,Forward,France,Adamo Coulibaly,,Nike Mercurial Vapor 15 Elite,43,187,0
227,Defender,Burkina Faso,Adamo Nagalo,PSV Eindhoven,,21,188,0
228,Defender,Niger,Adamou Ibrahim Djibo,FC Sheriff Tiraspol,,26,178,0
229,Defender,Peru,Adán Balbín,,,37,180,0
230,Defender,Spain,Aday Benítez,,Puma Future 7 Ultimate,36,178,0
231,Midfielder,Morocco,Adel Taarabt,,adidas Copa Pure 2 Elite,35,178,0
232,Defender,Serbia,Adem Avdic,,,16,173,0
233,Forward,Turkey,Adem Büyük,,Nike Phantom GX 2 Elite,37,177,0
234,Midfielder,Serbia,Adem Ljajic,,Nike Mercurial Vapor 15 Elite,32,182,0
235,Forward,Nigeria,Ademola Lookman,Atalanta BC,adidas F50 Elite LL,26,174,0
236,Defender,England,Aden Flint,,Nike Tiempo Legend VIII Elite,35,197,0
237,Defender,Brazil,Aderlan Santos,,Puma Ultra 1.1,35,193,0
238,Midfielder,-,Adi Nalic,,Nike Tiempo Legend 10 Elite,26,190,0
239,Midfielder,France,Adil Aouchiche,Sunderland,Nike Mercurial Vapor 15 Elite,22,181,0
240,Forward,England,Adil Nabi,,Nike Phantom GX 2 Elite,30,172,0
241,Defender,France,Adil Rami,,Nike Tiempo Legend 10 Elite,38,191,0
242,Forward,France,Adil Taoui,,,23,179,0
243,Defender,Slovenia,Adis Hodzic,,,25,185,0
244,Midfielder,Algeria,Adlène Guédioura,,adidas X Speedflow.1,38,178,0
245,Forward,Switzerland,Admir Mehmedi,,Nike Phantom GX 2 Elite,33,183,0
246,Forward,Zimbabwe,Admiral Muskwe,,,26,183,0
247,Goalkeeper,-,Adnan Ahmetovic,,,26,175,0
248,Forward,Belgium,Adnan Januzaj,UD Las Palmas,Nike Mercurial Superfly 9 Elite,29,186,0
249,Goalkeeper,-,Adnan Kanuric,,adidas X Speedportal.1,24,194,0
250,Defender,-,Adnan Kovacevic,,Nike Tiempo Legend 10 Elite,30,189,0
251,Forward,Morocco,Adnane Tighadouini,,Nike Mercurial Superfly 9 Elite,31,179,0
252,Forward,Japan,Ado Onaiwu,AJ Auxerre,Nike Tiempo Legend 9 Elite,28,180,0
253,Forward,Argentina,Adolfo Gaich,,adidas Copa Pure 2 Elite,25,190,0
254,Defender,Panama,Adolfo Machado,,adidas Predator Elite,39,181,0
255,Forward,Spain,Adri Carrasco,,,27,178,0
256,Defender,Spain,Adrià Altimira,CD Leganés,Puma Ultra Ultimate,23,170,0
257,Defender,Spain,Adrià Pedrosa,Sevilla FC,Puma Future 7 Ultimate,26,172,0
258,Goalkeeper,Spain,Adrián,Real Betis Balompié,adidas Copa Pure 2 Elite,37,190,0
259,Defender,Albania,Adrian Bajrami,SL Benfica,,22,188,0
260,Midfielder,Germany,Adrian Beck,1. FC Heidenheim 1846,adidas Nemeziz.1,27,186,0
261,Goalkeeper,Ecuador,Adrián Bone,,Lotto Zhero Gravity,35,179,0
262,Midfielder,Argentina,Adrián Calello,,adidas Predator Elite,37,177,0
263,Defender,Spain,Adrián Castellano,,,30,181,0
264,Forward,Spain,Adrián Colunga,,adidas X Crazyfast Elite,39,169,0
265,Forward,Spain,Adrián Dalmau,,,30,181,0
266,Defender,Spain,Adrián Diéguez,,Nike Tiempo Legend VII Elite,28,188,0
267,Forward,Spain,Adrián Embarba,Rayo Vallecano,adidas X Crazyfast+,32,173,0
268,Midfielder,Germany,Adrian Fein,,Nike Hypervenom Phantom II,25,187,0
269,Midfielder,Spain,Adrián González,,adidas Predator Elite,36,183,0
270,Forward,Austria,Adrian Grbic,,Nike Mercurial Vapor 15 Elite,28,188,0
271,Defender,Uruguay,Adrián Gunino,,Nike Magista Opus II Elite,35,175,0
272,Midfielder,Moldova,Adrian Hatman,,Nike Tiempo Legend VIII Elite,21,178,0
273,Defender,Spain,Adrián Jiménez,,,31,187,0
274,Forward,Spain,Adrián López,,Nike Mercurial Vapor 14 Elite,36,183,0
275,Defender,Jamaica,Adrian Mariappa,,Nike Phantom VNM Elite,37,178,0
276,Defender,Spain,Adrián Marín,SC Braga,Puma Future 7 Ultimate,27,181,0
277,Forward,Romania,Adrian Mazilu,,Nike Mercurial Vapor 15 Elite,18,186,0
278,Defender,Spain,Adrián Montoro,,,29,181,0
279,Defender,Norway,Adrian Nilsen Pereira,,Nike Mercurial Vapor XIII Elite,25,181,0
280,Midfielder,Germany,Adrian Oeynhausen,,adidas Predator Elite,22,178,0
281,Goalkeeper,Spain,Adrián Ortolá,,Nike Tiempo Legend 9 Elite,31,187,0
282,Midfielder,Romania,Adrian Popa,,,36,170,0
283,Forward,Colombia,Adrián Ramos,,adidas X Crazyfast Elite LL,38,185,0
284,Midfielder,Romania,Adrian Ropotan,,,38,183,0
285,Goalkeeper,France,Adrián Sahibeddine,,,30,179,0
286,Goalkeeper,Croatia,Adrian Semper,,adidas Predator Elite,26,194,0
287,Midfielder,Poland,Adrian Stanilewicz,,adidas Nemeziz.1,24,181,0
288,Midfielder,Romania,Adrian Stoian,,Nike Mercurial Superfly 9 Elite,33,175,0
289,Goalkeeper,Spain,Adrián Victores,,,23,193,0
290,Defender,Brazil,Adriano,,Nike Phantom GX 2 Elite,39,172,0
291,Defender,Italy,Adriano Russo,,adidas Copa Mundial,37,184,0
292,Forward,-,Adriel Ba Loua,,,28,170,0
293,Midfielder,Belgium,Adrien Bongiovanni,,,24,173,0
294,Forward,France,Adrien Hunou,Angers SCO,adidas X Crazyfast Elite,30,179,0
295,Forward,France,Adrien Lebeau,,adidas X Crazyfast Elite,25,175,0
296,Defender,France,Adrien Louveau,FC Girondins de Bordeaux,adidas X Crazyfast Elite LL,24,189,0
297,Midfielder,France,Adrien Rabiot,,Nike Phantom GT2 Elite,29,188,0
298,Midfielder,France,Adrien Regattin,,Nike Magista Opus II Elite,33,166,0
299,Midfielder,Portugal,Adrien Silva,,adidas Copa Pure 2 Elite,35,175,0
300,Midfielder,France,Adrien Tamèze,Torino FC,adidas Copa Pure 2 Elite,30,182,0
301,Midfielder,France,Adrien Thomasson,RC Lens,adidas Copa Pure 2 Elite,30,175,0
302,Midfielder,France,Adrien Trébel,,adidas Predator Elite,33,174,0
303,Defender,France,Adrien Truffert,Stade Rennais FC,adidas Copa Pure 2 Elite,22,176,0
304,Midfielder,Brazil,Adryan,,Nike Phantom GX 2 Elite,30,175,0
305,Defender,Brazil,Adryelson,,Nike Phantom GX Elite,26,182,0
306,Midfielder,Brazil,Adson,,adidas X Crazyfast Elite,23,171,0
307,Forward,Spain,Adu Ares,,adidas X Crazyfast Elite LL,22,183,0
308,Forward,Angola,Afimico Pululu,,Nike Mercurial Vapor XIII Elite,25,175,0
309,Defender,Portugal,Afonso Figueiredo,,,31,170,0
310,Forward,Portugal,Afonso Moreira,Sporting CP,,19,176,0
311,Midfielder,Azerbaijan,Afran Izmailov,,,35,183,0
312,Midfielder,Ghana,Afriyie Acquah,,Puma Ultra 1.1,32,179,0
313,Forward,Azerbaijan,Agabala Ramazanov,,,31,185,0
314,Midfielder,Spain,Ager Aketxe,,Nike Mercurial Vapor 15 Elite,30,174,0
315,Midfielder,Macedonia,Agim Ibraimi,,Nike Magista Opus II Elite,36,178,0
316,Midfielder,Albania,Agim Zeka,,,26,182,0
317,Midfielder,-,Agon Elezi,VfL Bochum,,23,181,0
318,Forward,Albania,Agon Mehmeti,,Nike Hypervenom Phinish,34,182,0
319,Defender,Italy,Agostino Camigliano,,adidas Predator Elite,30,187,0
320,Goalkeeper,Hungary,Ágoston Kiss,,,23,187,0
321,Midfielder,Guinea,Aguibou Camara,PFC Ludogorets Razgrad,Nike Mercurial Superfly 9 Elite,23,170,0
322,Forward,Uruguay,Agustín Álvarez,Elche CF,Nike Phantom GX Elite,23,177,0
323,Forward,Uruguay,Agustín Canobbio,,Nike Mercurial Vapor 15 Elite,25,175,0
324,Goalkeeper,Argentina,Agustín Cousillas,,adidas Predator Elite,34,182,0
325,Midfielder,Argentina,Agustín Farías,,,36,178,0
326,Goalkeeper,Argentina,Agustín Marchesín,,adidas X Crazyfast Elite LL,36,188,0
327,Midfielder,Argentina,Agustín Martegani,,Nike Phantom GX Elite DF,24,185,0
328,Goalkeeper,Argentina,Agustín Orión,,adidas Predator Elite,43,190,0
329,Defender,Uruguay,Agustín Rogel,,,26,191,0
330,Forward,Germany,Agyemang Diawusie,,,26,183,0
331,Defender,Colombia,Ahmad Abdollahzadeh,,,34,184,0
332,Defender,Iran,Ahmad Alnameh,,Mizuno Morelia Neo,41,186,0
333,Midfielder,Libya,Ahmad Benali,,Nike Tiempo Legend VII Elite,32,173,0
334,Defender,Cameroon,Ahmad Ngouyamsa,,Nike Phantom GX 2 Elite,23,176,0
335,Midfielder,Iran,Ahmad Nourollahi,,Nike Mercurial Vapor XIII Elite,31,185,0
336,Forward,Iran,Ahmad Shariatzadeh,,,22,177,0
